:START_ID(Forum)|:END_ID(Tag)
274877906944|1524
274877906944|2041
274877906944|14812
343597383681|14812
343597383682|14812
343597383683|1524
68719476740|59
68719476740|139
68719476740|273
68719476740|278
68719476740|295
68719476740|571
68719476740|581
68719476740|774
68719476740|778
68719476740|1022
68719476740|1180
68719476740|1196
68719476740|1203
68719476740|1451
68719476740|1765
68719476740|1908
68719476740|1984
68719476740|1987
68719476740|1992
68719476740|2001
68719476740|2007
68719476740|2032
68719476740|2036
68719476740|2072
68719476740|2075
68719476740|2082
68719476740|2094
68719476740|2107
68719476740|2783
68719476740|2786
68719476740|2789
68719476740|2795
68719476740|2819
68719476740|2844
68719476740|2851
68719476740|2858
68719476740|2873
68719476740|2876
68719476740|2893
68719476740|2900
68719476740|2927
68719476740|2991
68719476740|3021
68719476740|3034
68719476740|3040
68719476740|3042
68719476740|3043
68719476740|3050
68719476740|3078
68719476740|3086
68719476740|3099
68719476740|3110
68719476740|5063
68719476740|5119
68719476740|5316
68719476740|5449
68719476740|5555
68719476740|5753
68719476740|6413
68719476740|6672
68719476740|6981
68719476740|7380
68719476740|7523
68719476740|7547
68719476740|9063
68719476740|9095
68719476740|9310
68719476740|9326
68719476740|9412
68719476740|9844
68719476740|11408
68719476740|11410
68719476740|11698
68719476740|11959
137438953477|280
137438953477|284
137438953477|448
137438953477|540
137438953477|806
137438953477|1028
137438953477|1185
137438953477|1615
137438953477|1644
137438953477|1984
137438953477|1985
137438953477|2779
137438953477|2799
137438953477|2826
137438953477|2878
137438953477|2890
137438953477|2945
137438953477|3004
137438953477|3010
137438953477|3083
137438953477|5156
137438953477|5158
137438953477|5854
137438953477|6071
137438953477|6377
137438953477|6658
137438953477|6962
137438953477|6990
137438953477|7534
137438953477|14189
137438953477|14956
137438953478|461
137438953478|592
137438953478|1024
137438953478|1195
137438953478|1548
137438953478|1985
137438953478|1988
137438953478|2034
137438953478|2067
137438953478|2782
137438953478|5117
137438953478|5124
137438953478|5147
137438953478|7603
137438953478|13138
274877906951|1410
274877906952|1410
274877906954|1410
274877906956|139
274877906956|290
274877906956|584
274877906956|779
274877906956|781
274877906956|782
274877906956|783
274877906956|804
274877906956|1031
274877906956|1621
274877906956|1760
274877906956|1763
274877906956|1997
274877906956|2001
274877906956|2008
274877906956|2031
274877906956|2038
274877906956|2045
274877906956|2067
274877906956|2074
274877906956|2794
274877906956|2797
274877906956|2824
274877906956|2825
274877906956|2826
274877906956|2865
274877906956|2870
274877906956|2908
274877906956|2938
274877906956|2942
274877906956|2999
274877906956|3020
274877906956|3035
274877906956|3041
274877906956|3043
274877906956|3044
274877906956|5063
274877906956|5156
274877906956|5163
274877906956|6763
274877906956|6887
274877906956|6991
274877906956|7148
274877906956|7507
274877906956|7517
274877906956|8225
274877906956|8372
274877906956|10712
274877906956|10925
274877906956|11515
274877906956|11582
274877906957|2999
274877906960|1031
343597383697|458
343597383697|790
343597383697|1200
343597383697|2033
343597383697|2789
343597383697|2790
343597383697|2871
343597383697|2932
343597383697|4966
343597383697|7005
19|1201
19|1747
19|2914
19|3001
19|5381
19|6132
206158430228|2914
343597383701|6132
206158430230|3001
274877906967|1201
68719476760|5381
137438953497|5381
137438953498|6132
206158430235|2914
274877906972|2914
206158430238|246
206158430238|1985
206158430238|2990
206158430238|6438
31|6
31|587
31|588
31|782
31|1153
31|1173
31|1179
31|1180
31|1187
31|1193
31|1206
31|1454
31|1545
31|1760
31|1762
31|1863
31|1940
31|2031
31|2048
31|2067
31|5132
31|6413
31|6945
31|9063
31|9479
31|11250
31|11379
137438953504|1760
137438953505|1179
274877906978|5132
206158430243|6945
36|11250
68719476773|1760
137438953510|11250
68719476775|1206
206158430248|6
274877906985|2067
274877906986|1193
68719476779|6
68719476779|449
68719476779|543
68719476779|566
68719476779|578
68719476779|588
68719476779|590
68719476779|594
68719476779|781
68719476779|808
68719476779|1164
68719476779|1177
68719476779|1180
68719476779|1184
68719476779|1191
68719476779|1205
68719476779|1454
68719476779|1617
68719476779|1674
68719476779|1940
68719476779|2078
68719476779|2781
68719476779|2837
68719476779|6368
68719476779|6413
68719476779|6945
68719476779|6964
68719476779|7509
68719476779|9058
68719476779|9177
68719476779|9474
68719476779|9479
68719476779|11379
68719476779|11408
68719476779|11622
68719476779|11625
68719476779|11628
68719476779|11742
274877906988|291
274877906988|470
274877906988|973
274877906988|974
274877906988|1023
274877906988|1175
274877906988|1398
274877906988|1532
274877906988|1749
274877906988|1763
274877906988|1985
274877906988|1986
274877906988|1992
274877906988|2114
274877906988|2777
274877906988|2785
274877906988|2789
274877906988|2791
274877906988|2793
274877906988|2864
274877906988|2895
274877906988|2942
274877906988|2959
274877906988|2979
274877906988|2984
274877906988|2991
274877906988|2998
274877906988|3005
274877906988|3013
274877906988|3025
274877906988|3027
274877906988|3046
274877906988|5114
274877906988|5192
274877906988|6340
274877906988|6383
274877906988|6740
274877906988|6980
274877906988|6987
274877906988|7522
274877906988|9638
274877906988|10449
274877906988|10513
274877906988|11824
68719476781|196
68719476781|1031
137438953518|65
137438953518|2123
137438953518|3111
137438953518|7407
137438953518|8736
274877906991|1410
68719476785|470
68719476785|588
68719476785|598
68719476785|798
68719476785|805
68719476785|974
68719476785|1031
68719476785|1174
68719476785|1183
68719476785|1527
68719476785|1644
68719476785|1676
68719476785|1764
68719476785|1984
68719476785|1986
68719476785|1989
68719476785|1997
68719476785|1998
68719476785|2044
68719476785|2050
68719476785|2805
68719476785|2808
68719476785|2900
68719476785|2994
68719476785|3000
68719476785|3001
68719476785|3080
68719476785|4844
68719476785|4849
68719476785|5063
68719476785|5067
68719476785|5176
68719476785|5183
68719476785|6100
68719476785|6394
68719476785|6490
68719476785|6962
68719476785|7507
68719476785|7522
68719476785|7582
68719476785|7594
68719476785|7610
68719476785|9102
68719476785|9144
68719476785|9319
68719476785|10951
68719476785|11388
68719476785|11572
68719476785|12807
68719476785|13157
68719476785|13843
68719476785|13870
137438953522|132
137438953522|140
137438953522|295
137438953522|573
137438953522|595
137438953522|596
137438953522|781
137438953522|798
137438953522|806
137438953522|1181
137438953522|1532
137438953522|1765
137438953522|1996
137438953522|2050
137438953522|2072
137438953522|2088
137438953522|2779
137438953522|2783
137438953522|2827
137438953522|2831
137438953522|2932
137438953522|2934
137438953522|2945
137438953522|2949
137438953522|2968
137438953522|3001
137438953522|3029
137438953522|3092
137438953522|4899
137438953522|4990
137438953522|5129
137438953522|6360
137438953522|6940
137438953522|7012
137438953522|7283
137438953522|7350
137438953522|9098
137438953522|10298
137438953522|10987
137438953522|11356
137438953522|11633
137438953522|11855
206158430259|4843
343597383732|282
343597383732|458
343597383732|775
343597383732|778
343597383732|779
343597383732|781
343597383732|796
343597383732|1164
343597383732|1446
343597383732|1506
343597383732|1984
343597383732|1988
343597383732|2004
343597383732|2007
343597383732|2011
343597383732|2017
343597383732|2044
343597383732|2051
343597383732|2056
343597383732|2058
343597383732|2065
343597383732|2100
343597383732|2119
343597383732|2778
343597383732|2804
343597383732|2806
343597383732|2819
343597383732|2832
343597383732|2833
343597383732|2846
343597383732|2852
343597383732|2916
343597383732|2945
343597383732|2961
343597383732|2979
343597383732|2990
343597383732|3044
343597383732|3056
343597383732|3059
343597383732|3077
343597383732|3089
343597383732|4955
343597383732|5067
343597383732|5182
343597383732|5196
343597383732|6004
343597383732|6383
343597383732|6413
343597383732|6740
343597383732|6981
343597383732|6985
343597383732|7032
343597383732|7089
343597383732|7218
343597383732|7516
343597383732|7523
343597383732|9063
343597383732|9317
343597383732|10037
343597383732|14791
206158430262|6
206158430262|575
206158430262|588
206158430262|594
206158430262|775
206158430262|777
206158430262|781
206158430262|790
206158430262|806
206158430262|808
206158430262|973
206158430262|1164
206158430262|1170
206158430262|1173
206158430262|1174
206158430262|1177
206158430262|1178
206158430262|1179
206158430262|1180
206158430262|1183
206158430262|1185
206158430262|1188
206158430262|1191
206158430262|1198
206158430262|1204
206158430262|1206
206158430262|1545
206158430262|1679
206158430262|1749
206158430262|1766
206158430262|1863
206158430262|1910
206158430262|1940
206158430262|1984
206158430262|1995
206158430262|2020
206158430262|2023
206158430262|2029
206158430262|2040
206158430262|2048
206158430262|2051
206158430262|2068
206158430262|2070
206158430262|2078
206158430262|2115
206158430262|2123
206158430262|2793
206158430262|2797
206158430262|2808
206158430262|2895
206158430262|2913
206158430262|2999
206158430262|3013
206158430262|3044
206158430262|3093
206158430262|3114
206158430262|5085
206158430262|5191
206158430262|5192
206158430262|6413
206158430262|6945
206158430262|7015
206158430262|7516
206158430262|9144
206158430262|9163
206158430262|9272
206158430262|9486
206158430262|11254
206158430262|11258
206158430262|11375
206158430262|11377
206158430262|11408
206158430262|11622
206158430262|11628
206158430262|11642
206158430262|11695
206158430262|11698
206158430262|11742
206158430262|12002
137438953527|572
137438953527|775
137438953527|793
137438953527|1545
137438953527|1592
137438953527|1681
137438953527|1910
137438953527|1985
137438953527|1995
137438953527|2011
137438953527|2028
137438953527|2828
137438953527|2857
137438953527|2953
137438953527|2961
137438953527|3053
137438953527|5438
137438953527|6738
137438953527|6931
137438953527|7520
137438953527|9203
137438953527|10409
137438953527|11644
343597383737|9203
274877907002|1681
274877907005|6738
206158430270|1566
206158430270|2799
343597383743|1023
343597383743|1417
343597383743|1984
343597383743|2080
343597383743|2093
343597383743|2853
343597383743|2969
343597383743|5180
343597383743|9310
137438953536|6
137438953536|206
137438953536|583
137438953536|1173
137438953536|1180
137438953536|1185
137438953536|1206
137438953536|1910
137438953536|1984
137438953536|1987
137438953536|1989
137438953536|2023
137438953536|9058
137438953536|9102
137438953536|9188
137438953536|11247
137438953536|11377
206158430273|1180
206158430274|1987
206158430275|1173
206158430276|1989
137438953541|9102
206158430278|9102
274877907015|11247
274877907016|138
274877907016|193
274877907016|277
274877907016|468
274877907016|471
274877907016|561
274877907016|573
274877907016|775
274877907016|776
274877907016|782
274877907016|788
274877907016|795
274877907016|801
274877907016|1027
274877907016|1207
274877907016|1444
274877907016|1677
274877907016|1682
274877907016|1764
274877907016|1864
274877907016|1988
274877907016|2001
274877907016|2003
274877907016|2008
274877907016|2027
274877907016|2045
274877907016|2785
274877907016|2787
274877907016|2788
274877907016|2794
274877907016|2795
274877907016|2799
274877907016|2812
274877907016|2823
274877907016|2838
274877907016|2839
274877907016|2887
274877907016|2900
274877907016|2944
274877907016|2953
274877907016|2982
274877907016|2985
274877907016|3012
274877907016|3013
274877907016|3017
274877907016|3042
274877907016|3055
274877907016|3066
274877907016|3070
274877907016|3078
274877907016|4963
274877907016|5085
274877907016|5193
274877907016|5444
274877907016|5657
274877907016|6413
274877907016|7030
274877907016|7034
274877907016|7294
274877907016|7564
274877907016|8364
274877907016|9063
274877907016|9319
274877907016|9648
274877907016|10222
274877907016|10373
274877907016|10867
274877907016|11687
274877907016|11699
274877907016|12273
274877907017|3012
343597383754|3012
343597383755|11699
137438953548|585
137438953548|1444
137438953548|6404
137438953548|8082
343597383760|60
68719476817|8
68719476817|775
68719476817|1749
68719476817|1993
68719476817|2011
68719476817|2031
68719476817|2036
68719476817|2040
68719476817|2043
68719476817|2053
68719476817|2059
68719476817|2060
68719476817|2076
68719476817|2088
68719476817|2093
68719476817|2796
68719476817|2807
68719476817|2819
68719476817|2837
68719476817|2843
68719476817|2844
68719476817|2895
68719476817|2975
68719476817|3014
68719476817|5162
68719476817|5176
68719476817|6449
68719476817|6698
68719476817|6982
68719476817|7501
68719476817|9036
68719476817|13459
68719476817|13833
206158430290|804
206158430290|973
206158430290|1170
206158430290|1185
206158430290|1206
206158430290|1749
206158430290|1908
206158430290|1954
206158430290|2003
206158430290|2786
206158430290|2816
206158430290|2969
206158430290|2985
206158430290|4865
206158430290|6399
206158430290|6815
206158430290|7025
206158430290|7142
206158430290|7689
206158430290|9929
206158430291|973
343597383764|1170
274877907029|1908
206158430294|804
206158430295|2786
137438953560|6
137438953560|294
137438953560|580
137438953560|591
137438953560|1504
137438953560|1546
137438953560|1617
137438953560|1679
137438953560|1764
137438953560|1954
137438953560|1997
137438953560|2008
137438953560|2014
137438953560|2033
137438953560|2778
137438953560|2795
137438953560|2798
137438953560|2814
137438953560|2831
137438953560|2836
137438953560|2845
137438953560|2880
137438953560|2885
137438953560|2886
137438953560|2894
137438953560|2900
137438953560|2928
137438953560|2957
137438953560|3054
137438953560|4870
137438953560|5119
137438953560|5133
137438953560|5158
137438953560|5163
137438953560|5191
137438953560|6367
137438953560|6961
137438953560|6980
137438953560|6999
137438953560|7582
137438953560|7603
137438953560|8424
137438953560|9319
137438953560|9486
137438953560|10426
137438953560|14610
343597383769|6367
274877907034|14610
274877907035|9319
206158430301|2814
274877907038|294
343597383775|8424
137438953568|574
137438953568|780
137438953568|1032
137438953568|1149
137438953568|1154
137438953568|1182
137438953568|1987
137438953568|2004
137438953568|2784
137438953568|2788
137438953568|2844
137438953568|2879
137438953568|2903
137438953568|2910
137438953568|2916
137438953568|2939
137438953568|3020
137438953568|5440
137438953568|6368
137438953568|6645
137438953568|8481
137438953568|11410
137438953568|12386
137438953568|14216
206158430306|1182
274877907043|2844
274877907044|12386
206158430309|2784
343597383782|1154
206158430311|1524
206158430311|2054
343597383784|1524
343597383785|2054
274877907050|2054
137438953580|283
137438953580|777
137438953580|796
137438953580|801
137438953580|1043
137438953580|1763
137438953580|1940
137438953580|1987
137438953580|2031
137438953580|2058
137438953580|2789
137438953580|2822
137438953580|2963
137438953580|3033
137438953580|3043
137438953580|3075
137438953580|3096
137438953580|5063
137438953580|5085
137438953580|5445
137438953580|5663
137438953580|6133
137438953580|6368
137438953580|6369
137438953580|6545
137438953580|9098
137438953580|11745
206158430317|410
274877907054|59
274877907054|281
274877907054|579
274877907054|590
274877907054|781
274877907054|808
274877907054|1604
274877907054|1766
274877907054|2008
274877907054|2028
274877907054|2795
274877907054|2898
274877907054|3027
274877907054|3038
274877907054|3090
274877907054|5727
274877907054|8637
274877907054|11537
274877907054|12079
111|6
111|974
111|1984
111|2070
111|2118
111|5158
111|6418
111|6945
137438953584|1938
137438953584|5197
206158430323|139
206158430323|294
206158430323|458
206158430323|572
206158430323|590
206158430323|788
206158430323|974
206158430323|1184
206158430323|1401
206158430323|1680
206158430323|1984
206158430323|1985
206158430323|1991
206158430323|1992
206158430323|1994
206158430323|2006
206158430323|2017
206158430323|2023
206158430323|2052
206158430323|2056
206158430323|2058
206158430323|2078
206158430323|2777
206158430323|2783
206158430323|2788
206158430323|2796
206158430323|2797
206158430323|2812
206158430323|2827
206158430323|2836
206158430323|2845
206158430323|2859
206158430323|2872
206158430323|2880
206158430323|2929
206158430323|2943
206158430323|2976
206158430323|3011
206158430323|3022
206158430323|3064
206158430323|3087
206158430323|5163
206158430323|5170
206158430323|5193
206158430323|5699
206158430323|6405
206158430323|6993
206158430323|6999
206158430323|7001
206158430323|7010
206158430323|7522
206158430323|7526
206158430323|7564
206158430323|7570
206158430323|9479
206158430323|9496
206158430323|9760
206158430323|9939
206158430323|10080
206158430323|10322
206158430323|10991
206158430323|11408
206158430323|11557
206158430323|11609
206158430323|12273
274877907060|7570
206158430325|7522
274877907062|9760
206158430327|10991
274877907064|2827
121|6
121|60
121|138
121|252
121|279
121|468
121|565
121|576
121|585
121|588
121|774
121|777
121|782
121|807
121|1030
121|1032
121|1614
121|1760
121|1769
121|2045
121|2069
121|2097
121|2787
121|2794
121|2801
121|2805
121|2808
121|2869
121|2876
121|2951
121|2963
121|2967
121|3009
121|3055
121|3071
121|4844
121|5085
121|5129
121|6385
121|6397
121|6547
121|7547
121|8925
121|9272
121|10037
121|10878
121|12400
121|13487
206158430330|1769
137438953595|4844
274877907068|2869
206158430333|7547
137438953598|2805
137438953599|2963
206158430336|2808
68719476865|1769
274877907074|8925
343597383811|8925
343597383812|1319
343597383812|1452
343597383812|2082
343597383812|2780
343597383812|2787
343597383812|3103
343597383812|9021
343597383812|9486
343597383812|9548
137438953606|9
137438953606|139
137438953606|146
137438953606|416
137438953606|472
137438953606|576
137438953606|578
137438953606|585
137438953606|774
137438953606|778
137438953606|779
137438953606|975
137438953606|978
137438953606|1170
137438953606|1172
137438953606|1181
137438953606|1440
137438953606|1673
137438953606|1989
137438953606|2003
137438953606|2005
137438953606|2010
137438953606|2029
137438953606|2041
137438953606|2043
137438953606|2056
137438953606|2058
137438953606|2080
137438953606|2088
137438953606|2106
137438953606|2107
137438953606|2781
137438953606|2786
137438953606|2792
137438953606|2794
137438953606|2798
137438953606|2801
137438953606|2809
137438953606|2810
137438953606|2823
137438953606|2844
137438953606|2849
137438953606|2854
137438953606|2864
137438953606|2871
137438953606|2889
137438953606|2905
137438953606|2907
137438953606|2930
137438953606|2938
137438953606|2986
137438953606|2997
137438953606|3009
137438953606|3023
137438953606|3024
137438953606|3028
137438953606|3047
137438953606|3053
137438953606|5078
137438953606|5449
137438953606|6405
137438953606|6449
137438953606|6623
137438953606|6989
137438953606|7031
137438953606|7212
137438953606|7396
137438953606|7509
137438953606|7514
137438953606|7597
137438953606|9058
137438953606|9141
137438953606|9209
137438953606|9244
137438953606|12296
137438953606|13796
137438953606|13816
206158430344|2997
206158430345|2905
274877907085|975
274877907086|7212
137438953615|1733
137438953616|1733
206158430353|1733
343597383826|1733
274877907091|1733
206158430356|1733
206158430357|1733
274877907094|1733
274877907095|139
274877907095|470
274877907095|580
274877907095|782
274877907095|1426
274877907095|1985
274877907095|2031
274877907095|2058
274877907095|2777
274877907095|2778
274877907095|2786
274877907095|2836
274877907095|2845
274877907095|2906
274877907095|2943
274877907095|5114
274877907100|284
274877907100|785
274877907100|1375
274877907100|1991
274877907100|2007
274877907100|2782
274877907100|2806
274877907100|2809
274877907100|2814
274877907100|2825
274877907100|2848
274877907100|2869
274877907100|2884
274877907100|2899
274877907100|2951
274877907100|2979
274877907100|2987
274877907100|2989
274877907100|3018
274877907100|3036
274877907100|3069
274877907100|3089
274877907100|3103
274877907100|3108
274877907100|5178
274877907100|5417
274877907100|5456
274877907100|5598
274877907100|5673
274877907100|5766
274877907100|5794
274877907100|5886
274877907100|5947
274877907100|6050
274877907100|6361
274877907100|6363
274877907100|6440
274877907100|6740
274877907100|6817
274877907100|6931
274877907100|6952
274877907100|6962
274877907100|7486
274877907100|7512
274877907100|7522
274877907100|7572
274877907100|8135
274877907100|8138
274877907100|8298
274877907100|8342
274877907100|9203
274877907100|9433
274877907100|10241
274877907100|11235
274877907100|11236
274877907100|11919
274877907100|12444
274877907100|12646
274877907100|12976
274877907100|13163
274877907100|13775
274877907100|14353
274877907100|15036
68719476895|6
68719476895|588
68719476895|1021
68719476895|1767
68719476895|1940
68719476895|1995
68719476895|2018
68719476895|5174
68719476895|6413
68719476895|7328
68719476895|9170
68719476895|11695
68719476895|12002
274877907104|143
274877907104|287
274877907104|776
274877907104|974
274877907104|1176
274877907104|1545
274877907104|1667
274877907104|1669
274877907104|1764
274877907104|1988
274877907104|1992
274877907104|2011
274877907104|2012
274877907104|2025
274877907104|2031
274877907104|2061
274877907104|2106
274877907104|2242
274877907104|2777
274877907104|2779
274877907104|2787
274877907104|2818
274877907104|2840
274877907104|2879
274877907104|2900
274877907104|2932
274877907104|2943
274877907104|2944
274877907104|3003
274877907104|3057
274877907104|3079
274877907104|6395
274877907104|6945
274877907104|7001
274877907104|8015
274877907104|8480
274877907104|10284
274877907104|11698
274877907104|12273
274877907104|15759
